fine,fine,,,,
finger,finger,,,,
finish,finish,,,,
fireman,fireman,,,,
firetruck,fire_truck,,,,
first,first,,,,
fit,fit,,,,
fix,fix,,,,
flag,flag,,,,
flower,flower,,,,
food,food,,,,
foot,foot,,,,
for,for,,,,
fork,fork,,,,
friend,friend,,,,
gas station,gas_station,,,,
frog,frog,,,,
full,full,,,,
game,game,,,,
garage,garage,,,,
garbage,garbage,,,,
garden,garden,,,,
good night,good_night,,,,
gentle,gentle,,,,
get,get,,,,
giraffe,giraffe,,,,
girl,girl,,,,
give,give,,,,
glass,glass,,,,
glasses,glasses,,,,
gloves,gloves,,,,
glue,glue,,,,
go,go,,,,
gonna,gonna,,,,
good,good,,,,
high chair,high_chair,,,,
goose,goose,,,,
gotta,gotta,,,,
grandma,grandma,,,,
grandpa,grandpa,,,,
grapes,grapes,,,,
grass,grass,,,,
green,green,,,,
grrr,grrr,,,,
gum,gum,,,,
hafta,hafta,,,,
hair,hair,,,,
hamburger,hamburger,,,,
hammer,hammer,,,,
hand,hand,,,,
happy,happy,,,,
hard,hard,,,,
hat,hat,,,,
hate,hate,,,,
have,have,,,,
he,he,,,,
head,head,,,,
hear,hear,,,,
heavy,heavy,,,,
helicopter,helicopter,,,,
hello,hello,,,,
help,help,,,,
hen,hen,,,,
her,her,,,,
here,here,,,,
hers,hers,,,,
hi,hi,,,,
hide,hide,,,,
high,high,,,,
hurt (description),hurt,,,,
him,him,,,,
his,his,,,,
hit,hit,,,,
hold,hold,,,,
home,home,,,,
horse,horse,,,,
hose,hose,,,,
hot,hot,,,,
house,house,,,,
how,how,,,,
hug,hug,,,,
hungry,hungry,,,,
hurry,hurry,,,,
lawn mower,lawn_mower,,,,
i,i,,,,
ice,ice,,,,
if,if,,,,
in,in,,,,
into,into,,,,
is,is,,,,
it,it,,,,
jacket,jacket,,,,
jar,jar,,,,
jeans,jeans,,,,
jello,jello,,,,
jelly,jelly,,,,
juice,juice,,,,
jump,jump,,,,
keys,keys,,,,
kick,kick,,,,
kiss,kiss,,,,
kitchen,kitchen,,,,
kitty,kitty,,,,
knee,knee,,,,
knife,knife,,,,
knock,knock,,,,
ladder,ladder,,,,
lady,lady,,,,
lamb,lamb,,,,
lamp,lamp,,,,
last,last,,,,
later,later,,,,
little (description),little,,,,
leg,leg,,,,
lemme,lemme,,,,
lick,lick,,,,
light,light,,,,
like,like,,,,
lion,lion,,,,
lips,lips,,,,
listen,listen,,,,
next to,next_to,,,,
lollipop,lollipop,,,,
long,long,,,,
look,look,,,,
loud,loud,,,,
love,love,,,,
lunch,lunch,,,,
mad,mad,,,,
mailman,mailman,,,,
make,make,,,,
man,man,,,,
me,me,,,,
meat,meat,,,,
medicine,medicine,,,,
melon,melon,,,,
meow,meow,,,,
milk,milk,,,,
mine,mine,,,,
mittens,mittens,,,,
mommy,mommy,,,,
money,money,,,,
monkey,monkey,,,,
moo,moo,,,,
moon,moon,,,,
moose,moose,,,,
mop,mop,,,,
more,more,,,,
morning,morning,,,,
motorcycle,motorcycle,,,,
mouse,mouse,,,,
mouth,mouth,,,,
movie,movie,,,,
much,much,,,,
muffin,muffin,,,,
my,my,,,,
myself,myself,,,,
nails,nails,,,,
nap,nap,,,,
napkin,napkin,,,,
naughty,naughty,,,,
necklace,necklace,,,,
need,need,,,,
new,new,,,,
open (action),open,,,,
nice,nice,,,,
night,night,,,,
no,no,,,,
noisy,noisy,,,,
none,none,,,,
noodles,noodles,,,,
nose,nose,,,,
not,not,,,,
now,now,,,,
nurse,nurse,,,,
nuts,nuts,,,,
of,of,,,,
off,off,,,,
old,old,,,,
on,on,,,,
paint (action),paint,,,,
other,other,,,,
ouch,ouch,,,,
our,our,,,,
out,out,,,,
outside,outside,,,,
oven,oven,,,,
over,over,,,,
owie,owie,,,,
owl,owl,,,,
peanut butter,peanut_butter,,,,
pajamas,pajamas,,,,
pancake,pancake,,,,
pants,pants,,,,
paper,paper,,,,
park,park,,,,
party,party,,,,
pattycake,patty_cake,,,,
play dough,play_dough,,,,
peas,peas,,,,
peekaboo,peekaboo,,,,
pen,pen,,,,
pencil,pencil,,,,
penguin,penguin,,,,
penis,penis,,,,
penny,penny,,,,
people,people,,,,
person,person,,,,
pick,pick,,,,
pickle,pickle,,,,
picnic,picnic,,,,
picture,picture,,,,
pig,pig,,,,
pillow,pillow,,,,
pizza,pizza,,,,
plant,plant,,,,
plate,plate,,,,
play,play,,,,
play pen,play_pen,,,,
playground,play_ground,,,,
potato chip,potato_chip,,,,
please,please,,,,
police,police,,,,
pony,pony,,,,
pool,pool,,,,
poor,poor,,,,
popcorn,popcorn,,,,
popsicle,popsicle,,,,
porch,porch,,,,
potato,potato,,,,
potty,potty,,,,
pour,pour,,,,
present,present,,,,
pretend,pretend,,,,
pretty,pretty,,,,
pretzel,pretzel,,,,
pudding,pudding,,,,
pull,pull,,,,
pumpkin,pumpkin,,,,
puppy,puppy,,,,
purse,purse,,,,
push,push,,,,
put,put,,,,
puzzle,puzzle,,,,
quack quack,quack,,,,
quiet,quiet,,,,
radio,radio,,,,
rain,rain,,,,
raisin,raisin,,,,
read,read,,,,
red,red,,,,
refrigerator,refrigerator,,,,
ride,ride,,,,
rip,rip,,,,
roof,roof,,,,
room,room,,,,
rooster,rooster,,,,
run,run,,,,
sad,sad,,,,
salt,salt,,,,
same,same,,,,
sandbox,sandbox,,,,
sandwich,sandwich,,,,
sauce,sauce,,,,
say,say,,,,
scared,scared,,,,
scarf,scarf,,,,
school,school,,,,
scissors,scissors,,,,
see,see,,,,
shake,shake,,,,
share,share,,,,
she,she,,,,
sheep,sheep,,,,
shh,shh,,,,
shirt,shirt,,,,
shoe,shoe,,,,
shopping,shopping,,,,
shorts,shorts,,,,
shoulder,shoulder,,,,
shovel,shovel,,,,
show,show,,,,
shower,shower,,,,
sick,sick,,,,
sidewalk,sidewalk,,,,
sing,sing,,,,
sink,sink,,,,
sister,sister,,,,
sit,sit,,,,
skate,skate,,,,
sky,sky,,,,
sled,sled,,,,
sleep,sleep,,,,
sleepy,sleepy,,,,
slide (object),slide,,,,
slipper,slipper,,,,
slow,slow,,,,
smile,smile,,,,
snack,snack,,,,
sneaker,sneaker,,,,
snow,snow,,,,
snowman,snowman,,,,
snowsuit,snow_suit,,,,
so,so,,,,
soap,soap,,,,
sock,sock,,,,
soda,soda,,,,
sofa,sofa,,,,
soft,soft,,,,
some,some,,,,
soup,soup,,,,
spaghetti,spaghetti,,,,
spill,spill,,,,
splash,splash,,,,
spoon,spoon,,,,
sprinkler,sprinkler,,,,
squirrel,squirrel,,,,
stairs,stairs,,,,
stand,stand,,,,
star,star,,,,
stay,stay,,,,
stick,stick,,,,
sticky,sticky,,,,
stone,stone,,,,
stop,stop,,,,
store,store,,,,
story,story,,,,
stove,stove,,,,
strawberry,strawberry,,,,
street,street,,,,
stroller,stroller,,,,
stuck,stuck,,,,
sun,sun,,,,
sweater,sweater,,,,
sweep,sweep,,,,
swim,swim,,,,
swing (action),swing,,,,
table,table,,,,
take,take,,,,
talk,talk,,,,
tape,tape,,,,
taste,taste,,,,
teacher,teacher,,,,
tear,tear,,,,
teddybear,teddy_bear,,,,
telephone,telephone,,,,
thank you,thank_you,,,,
that,that,,,,
the,the,,,,
their,their,,,,
them,them,,,,
then,then,,,,
there,there,,,,
these,these,,,,
they,they,,,,
think,think,,,,
thirsty,thirsty,,,,
this,this,,,,
those,those,,,,
throw,throw,,,,
tickle,tickle,,,,
tiger,tiger,,,,
tights,tights,,,,
time,time,,,,
tiny,tiny,,,,
tired,tired,,,,
tissue,tissue,,,,
to,to,,,,
toast,toast,,,,
today,today,,,,
toe,toe,,,,
tomorrow,tomorrow,,,,
tongue,tongue,,,,
tonight,tonight,,,,
too,too,,,,
tooth,tooth,,,,
toothbrush,tooth_brush,,,,
touch,touch,,,,
towel,towel,,,,
toy (object),toy,,,,
tractor,tractor,,,,
train,train,,,,
trash,trash,,,,
tray,tray,,,,
tree,tree,,,,
tricycle,tricycle,,,,
truck,truck,,,,
try,try,,,,
tummy,tummy,,,,
tuna,tuna,,,,
turkey,turkey,,,,
turtle,turtle,,,,
tv,t_v,,,,
uh oh,uh_oh,,,,
uncle,uncle,,,,
under,under,,,,
underpants,underpants,,,,
up,up,,,,
us,us,,,,
vacuum,vacuum,,,,
vagina,vagina,,,,
vanilla,vanilla,,,,
vitamins,vitamins,,,,
vroom,vroom,,,,
wait,wait,,,,
wake,wake,,,,
walk,walk,,,,
walker,walker,,,,
wanna,wanna,,,,
was,was,,,,
wash,wash,,,,
watch (action),watch,,,,
we,we,,,,
were,were,,,,
wet (description),wet,,,,
what,what,,,,
when (question),when,,,,
where (question),where,,,,
which (question),which,,,,
white,white,,,,
who,who,,,,
why,why,,,,
will,will,,,,
wind,wind,,,,
window,window,,,,
windy,windy,,,,
wipe,wipe,,,,
wish,wish,,,,
with,with,,,,
wolf,wolf,,,,
woods,woods,,,,
woof woof,woof,,,,
would,would,,,,
write,write,,,,
yard,yard,,,,
yellow,yellow,,,,
yes,yes,,,,
yesterday,yesterday,,,,
yogurt,yogurt,,,,
you,you,,,,
your,your,,,,
yourself,yourself,,,,
yucky,yucky,,,,
yum yum,yum,,,,
zebra,zebra,,,,
zipper,zipper,,,,
zoo,zoo,,,,
chicken (animal),chicken,,,,
fish (animal),fish,,,,
chicken (food),chicken,,,,
fish (food),fish,,,,
ice cream,ice_cream,,,,
orange (food),orange,,,,
water (beverage),water,,,,
watch (object),watch,,,,
rocking chair,rocking_chair,,,,
washing machine,washing_machine,,,,
rock (object),rock,,,,
water (not beverage),water,,,,
call on phone,call,,,,
orange (description),orange,,,,
